Site,Date,LiCor_Number,Leaf_Code,Leaf_age,Species_Age,PAR,CO2_Reference,Ci,An,Tleaf,RH,Ci_Pa,CiCa_ratio,Atmospheric_Pressure
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,33,38.59016469,-1.541501964,31.42135239,80.7406311,3.568429337,1.156700929,92.80364227
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,66,61.12597396,0.753848809,31.4313221,80.66994476,5.652239606,0.934067763,92.80358887
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,100,81.33896026,3.251160545,31.49820137,80.69179535,7.521110297,0.845684824,92.80192566
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,175,128.5759092,8.570354878,31.52430153,80.75775146,11.88917905,0.778857117,92.80088806
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,250,177.6075916,13.6700474,31.54181862,80.68017578,16.42231593,0.750334477,92.7989502
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,325,226.5967649,18.35926353,31.52128792,80.48648071,20.95226558,0.739679971,92.79878235
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,400,283.4354067,22.60398457,31.35898781,80.62763977,26.20884207,0.751613443,92.80115509
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,475,338.6717348,26.18106856,31.30958366,80.48828125,31.31588017,0.755560798,92.79447174
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,575,417.7244962,29.98850007,31.24609375,80.26618195,38.62489402,0.768557386,92.79091644
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,675,505.079556,32.22340225,31.21530533,80.0069046,46.70051846,0.787532619,92.7874527
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,800,618.4641592,34.35539247,31.17672348,79.79103088,57.18285586,0.809748061,92.78534698
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,1000,808.478815,35.79434245,31.16106987,79.4649353,74.74935985,0.840133874,92.78262329
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,1400,1197.507843,35.10480754,31.14674377,79.28368378,110.7188332,0.880309583,92.78291321
Xishuangbanna,20190805,JW1,10MZZ_B1_L2,M,MZZ_M,2000,1800,1586.370137,35.15074722,31.13999557,79.13638306,146.670335,0.902293838,92.78320313
